es_term,en_term
fanática,Fanatic
introvertida,introvert
psicoinfantil,Psychoinfantile
posconcusional,Post-concussional
postconcusional,Post-concussional
educativamente,Educationally
subnormal,Educationally
desintegrativas,Disintegrative
activas,Disintegrative
manifestación,Other
blefaroritidectomía,blepharoplasty
queratomileusis,Keratomileusis
eicc,ICCE
icce,ICCE
calcosis,Chalcosis
sarcoidea,Sarcoid
ascher,Ascher
milia,Milia
parpebral,Eyelid
canalicular,Canalicular
orbitopatía,Graves
oftalmopatía,Graves
intra-orbitario,Orbit
artefacta,Conjunctivitis
intercalar,Intercalary
neuroparalítica,Neuroparalytic
"específica,",Specific
dendriforme,Dendriform
epitelitis,Epithelitis
hematocórnea,Hematocornea
fáquico,Phakic
fáquica,Phakic
seudofáquico,Pseudophakic
seudofáquica,Pseudophakic
afáquica,Aphakic
pre-descemet,PDCD
queratoglobo,Keratoglobus
lagoftálmica,Exposure
neutrófica,Neurotrophic
climática,Corneal
facotóxica,Phacotoxic
hipema,Spontaneous
desnutrición-deshidratación,Malnutrition-dehydration
malnutrición-deshidratación,Malnutrition-dehydration
elsching,Elschnig
yuxtapapilar,Juxtapapillary
coriorretinianas,Peripheral
diseminadas,diffuse
miópica,Peripheral
retinocoroidea,Peripheral
peripapilar,Peripapillary
coriodal,Choroidal
desprendimientos,Retinal
yatrogénico,Iatrogenic
retinoquisis,Macular
preproliferativa,Preproliferative
lipemia,Lipemia
parafoveal,Macular
purtscher,Purtscher
viteliforme,Best
tapetorretiniana,Tapetoretinal
leber,Leber
monocromatismo,BCM
vitreorretinopatías,FEVR
exudativas,FEVR
goldmann-favre,Goldmann-Favre
incarceración,Retinal
fruncido,Macular
mebrana,Macular
epimacular,Macular
foster-fuch,Forster-Fuchs
forster-fuch,Forster-Fuchs
facomórfico,Intumescent
microtropia,Monofixation syndrome
monofijación,Monofixation
consecutiva,Consecutive
marcus-gunn,Marcus-Gunn
hipermetropía,Simply
manifiesta,Manifest
oftalmoplegía,Ophthalmoplegia
anisometrópica,Anisometropic
"legal,",Legal
ee.uu.,Legal
bezold,Bezold
sincopal,Syncopal
intranasales,Intranasal
dermoiode,Nasal
medionasal,Dorsal
valecular,Vallecular
vincent,Vincent
pseudocroup,Pseudocroup
senning,Senning
rastelli,Rastelli
dpit,TIPS
dpsit,TIPS
nocardias,Nocardial
varicelosa,Varicella
sarampionosa,Measles
postrasplante,Post-lung
catamenial,Catamenial
neumohemotórax,Traumatic
seudoquilotórax,Pseudochylothorax
pseudoquilotórax,Pseudochylothorax
seudoquiloso,Intralipid
intralipídico,Intralipid
postuberculosa,Post
"bisinosis,",Byssinosis
ficticio,Spurious
licoperdonosis,Lycoperdonosis
neurogénico,Neurogenic
hemomediastino,Hemomediastinum
hematomediastino,Hemomediastinum
lofgren,Lofgrens
lofgrens,Lofgrens
loefgren,Lofgrens
baritosis,Baritosis
liparitosis,Liparosis
esquistosis,Schistosis
silicótica,Massive
silicolipoproteinosis,Acute
wollastonita,Wollastonite
hipoxémica,Type
endobronquial,Endobronchial
traquoesofágica,Acq
traqueoarterial,Acq
traqueocutánea,Acq
traqueobroncomalacia,BRONCHOMALACIA
traqueobronquiomalacia,BRONCHOMALACIA
williams-campbell,BRONCHOMALACIA
broncobiliar,Bronchobiliary
broncocutánea,Bronchocutaneous
broncogénico,Infected
anastomósica,Bronchial
anastomósico,Bronchial
flebólitos,pelvic
"anterior,",AMI
"inferior,",imi
"lateral,",Lateral
silencioso,Silent
rickétsica,Rickettsial
rickéttsica,Rickettsial
moniliásica,Endocarditis
micarditis,Fungal
cardiomiopatías,Prim
posmiocardítica,Post-myocarditic
incesante,Incessant
aurículo-ventricular,Atrioventricular
"interventricular,",Interventricular
escondida,Concealed
pericárdicas,Rheumatic
posarterítica,Post-arteritic
extrínsica,Extrins
vibratorio,Vibration
vibración,Vibration
"várices,",Varices
"internas,",Internal
mesénterica,Mesenteric
micobacterial,Atypical
bancroftiana,Chron
timoriana,Timorian
oncocercal,Onchocercal
bancroftiano,Filarial
ectásica,Ectactic
ectática,Ectactic
esplenoportal,Splenoportal
veno-capilar,Capillary-venous
capilar-venosa-linfática,Capil-ven-lymph
hennekam,Hennekam
arteriovenosa-linfática,Arteriovenous-lymphat
neuromediado,Neurally
neuralmente,Neurally
circunstacial,Situational
defecatorio,Defecation
deglutorio,Deglutition
anafilactoide,Anaphylactoid
isonatrémica,Isonatremic
hipersensible,Oversensing
infrasensible,Undersensing
eritrogénesis,Erythrogenesis
may-heggalin,May
may-hegglin,May
crioglobulinémica,Cryoglobulinemic
odontoclasia,Odontoclasia
macrogenia,Macrogenia
microgenia,Microgenia
molares,impact
queratoquistes,Keratocyst
queratoquiste,Keratocyst
"labial,",Acquired
exfoliativa,Exfoliative
ileoileostomía,Ileoileostomy
ileoileoanastomosis,Ileoileostomy
supraduodenal,Supraduodenal
esofágicos,Other
bacterial,Bacterial
erosiones,esophageal
membrana/anillo,Esophageal
palatoesofágica,Palato-esophageal
divertículos,Mid-esophageal
pseudodiverticulosis,Intramural
corrosiva,Corrosive
granulomatosacrónico,Chr
gastroyeyunal,Gastrojejunal
gastrocutánea,Gastrocutaneous
dieulafoy,ulcer;
tricofitobezoar,Trichophytobezoar
lactobezoar,Lactobezoar
duodenoentérica,Duodenoenteric
deformado,Deformed
hipoabsorción,Post-infective
davidson,MVID
posprocedimiento,Postprocedural
yeyunoentérica,Jejunoenteric
yeyunocólica,Jejunocolic
enterocutánea,Enterocutaneous
yeyunocutánea,Jejunocutaneous
"colitis,","Colitis,enteritis"
supurante,Acute
paracólico,Paracolic
colovaginal,Colovaginal
intestinourinaria,Intestinourinary
rectourinaria,Rectourinary
rectoprostática,Rectoprostatic
colocutánea,Colocutaneous
interesfinteriana,Submucosal
pelvirrectal,Pelvirectal
supraesfintérica,Pelvirectal
extraesfintérica,Extrasphincteric
supraelevador,Pelvirectal
coagulado,Clotted
colecistogástrica,Cholecystogastric
colección,Collection
cisteadenoma,Pancreatic
uroperitonitis,Uroperitonitis
pericecal,Pericecal
perirrectales,Perirectal
colónicas,adhesion;
periapendiculares,Periappendiceal
ileocecales,Ileocecal
paraestomal,Parastomal
paracolostomía,Paracolostomy
paraileostomía,Para-ileostomy
periestomal,Peristomal
periestoma,Peristomal
asesor,Counsel
purchasing,Purchasing
officer/buyer,Purchasing
education/welfare/health,Education/welfare/health
"educación/bienestar/salud,",Education/welfare/health
comediante/payaso,Comedian/clown
comediante,Comedian
geofísico,Geophysicist
mine/quarry/drill,Mine/quarry/drill
minas/excavación/perforación,Mine/quarry/drill
perforaciones,Drilling
tripulación,Aircrew
banquetes/hotel/bar,Catering/hotel/pub
farming/fishing,Farming/fishing
manager,Farming/fishing
agricultura/pesca,Farming/fishing
"granjero/pescador,",Farming/fishing
secretarias:,Secretaries:
taquigrafía/tipeo,Secretaries:
secretary:shorthand/typing,Secretaries:
secretaria:,Secretaries:
"taquígrafa/mecanógrafa,",Secretaries:
secretario/secretaria,Secretary
secretarios/secretarias,Secretary
taquígrafa,Shorthand
domestic,Domestic
helper/maid,Domestic
ayudante,Domestic
doméstico/mucama,Domestic
lavanderías,Launderer/dry cleaner
tintorería,Launderer/dry
satinador,Presser - garments
comida/bebida,Food/drink
procesador,Food/drink
processor,Food
procesadora,Food
triturador,Crusher
cajas,Box
embalajes,Case
operario/obrero,Other
pielectasia,Pyelectasis
gnpa,Acute proliferative GN
glucoaminofosfatúrica,RFS
glicinuria,Glycinuria
urinoma,Urinoma
pararrenal,Pararenal
periureteritis,Periureteritis
acodadura,kink;
acodamiento,kink;
ensortijamiento,kink;
paraureteral,Urinoma
altamente,High
distensible,High
[d]retención,URINARY
detrusor-esfínter,Detrussor
vesicosigmoidea,Vesicosigmoidal
gonocócico,Gonococcal
balanofosfitis,Trichomonal
sebáceos,sebaceous
tubovárico,Tubo-ovarian
tuvoovárico,"GC,"
abultado,Bulky
voluminoso,Bulky
"voluminoso,",Bulky
epimenorragia,Epimenorrhagia
polimenorragia,Epimenorrhagia
metropatía,Metropathia
subfertilidad,Subfertility
disproportion,disproportion
"desproporción,",disproportion
preeclampasia,Superimposed
sobreimpuesta,Superimposed
retenidos,Retained
bandl,Bandl;
afribinogenemia,Postpartum
autoinmunitario,Autoimmune
hashitoxicosis,Hashitoxicosis
tiroxicosis,Borderline
apático,Apathetic
jod-basedow,Jod-Basedow
"hipotiroideo,",Hypothyroid
adquiridos,Other
postablación,Postablative
"posablativo,",Postablative
disalbuminémica,FDH
eutiroidea,Dysprealb
disprealbuminémica,Dysprealb
hipotiroxinemia,Euthyroid
dishormonogenético,Famil
desyodasa,TDH4
hiperglucagonemia,Hyperglucagonemia
hipogastrinemia,Hypogastrinemia
hipersomatostatinemia,Hypersomatostatinemia
oculopatía,Diabetic
hiperproinsulinemia,Hyperproinsulinemia
bangstad,Bangstad
woodhouse-sakati,WSS
rogers,TRMA
ballinger-wallace,MIDD
"posoperatoria,",Post-surgical
"posquirúrgica,",Post-surgical
"postoperatoria,",Post-surgical
neuroglucopenia,Neuroglycopenia
paratiroideos,Other
paratiroiditis,Autoimmune
somatotrófica,Somatotroph
lactotrófica,Lactotroph
gonadotrófica,Gonadotroph
tirotrófica,Thyrotroph
corticotrófica,Corticotroph
hipoganadismo,HH7
adenohipofisaria,Post-infective
osmorregulación,Osmoregulation
osmostato,Reset
grahmann,Grahmann
diencefálico,Grahmann
seudosíndrome,Pseudo-Cushing
pseudo-cushing,Pseudo-Cushing
feminización-adrenogenital,Male
"20,22-desmolasa",LCAH
postsuprarrenalectomía,Post-adrenalectomy
hiperreninémico,Hyperreninemic
hipoladosteronismo,Hyperreninemic
corticosuprarenal,Adrenocortical
suprrarenal,Macronodul
adrenomegalia,Adrenomegaly
endocrino-ginecológico,Gynecological
endócrino-ginecológico,Gynecological
virilizante,Virilizing
normoprolactinémica,Normoprolactinmc
andrológico,Endocrine
endócrino,Endocrine observable
hipoandrogenismo,Hypoandrogenism
infravirilización,Undervirilization
pubarca,Premature
pubarquia,Premature
adrenarca,Adrenarche
adrenarquia,Adrenarche
menarquia,Early
testotoxicosis,Testotoxicosis
dermopatía,dermopathy
ateliótico,IGHD1A
ateleiótico,IGHD1A
electrolyte,electrolyte
imbalance,electrolyte
seudohiponatremia,Pseudohyponatremia
pseudohiponatremia,Pseudohyponatremia
hipercalémica,Hyperkalemic
hipercaliémica,Hyperkalemic
hiperpotasémica,Hyperkalemic
hiperpotasemia,Drug-induced
hipocaliémica,Hypokalemic
hipopotasémica,Hypokalemic
revertido,Reversed
danesa,Danish
cutaneopapular,Papular
poiquilodérmico,Poikiloderm
"hemosiderosis,","Hemosiderosis,"
hipercalciúrico,Hypercalciuric
extraósea,Extraosseous
extraesquelética,Extraosseous
periarticular,Periarticular
seudomotriz,Pseudotumor
tirosinuria,Tyrosinuria
bermejo,ROCA
triptofanemia,Tryptophanemia
2-quetoadípica,2-Ketoadipic
cistinemia,Cystinemia
valinosis,Valinosis
isoleucinosis,Isoleucinosis
mevalonicaciduria,MKD
3-hidroxiisobutírica,3-Hydroxyisobutyric
trimetilaminuria,TMAU
sacarosuria,Sucrosuria
d-glicérica,D-Glyceric
pearson,PMPS
carnitina-acilcarnitina-translocasa,CACTD
malónica,Malonicaciduria
dihidropirimidasa,DPYSD
"manosidosis,","Mannosidosis,"
manosidosis,Mannosidosis
sialuria,Sialuria
homocigota,Homozyg
hipercolesterolemia,Primary
poligénica,Sporadic
hfho,HoFH
heterocigótica,Fam
hiperalfalipoproteinemia,HALP1
hipolipemia,Hypolipemia
fitosterolemia,STSL
hipermetabolismo,Hypermetabolism
desaturación,Desaturation
omentoplastia,Omentoplasty
epiploplastia,Omentoplasty
barcoo,Barcoo
tuberculide,Tuberculid
alternariosis,Alternariosis
dermafítide,Mycide
dermatofítide,Mycide
epidermofítide,Mycide
taches,Macula
bleuâtres,Macula
gutata,Guttate
decalvans,Keratosis
seudoacantosis,Pseudoacanthosis
pseudoacantosis,Pseudoacanthosis
autografismo,Dermagraphy
dermatografía,Dermagraphy
caquéctico,Chloasma
lanoso,Wooly
excoriada,Acne
excoriado,Acne
escoriado,Acne
eruptiva,MEM
agminata,Acnitis
livedoide,Livedoid
seudosarcoma,IPEH
masson,IPEH
acroangiodermatitis,Stasis purpura
weary-kindler,Weary-Kindler
elastoidosis,Nodular
amiantácea,Tinea
wells,Wells
esclerodermatomiositis,Sclerodermatomyositis
sifilofobia,Syphilophobia
flynn-aird,Flynn
naegeli,NFJS
naegeli-franceschetti-jadassohn,NFJS
coronoidectomía,Coronoidectomy
hiperlaxitud,Flail
artrocatadisis,Otto pelvis
pauciinmune,Prim
hipocomplementémica,McDuffie
polialgia,Polyalgia
condrolisis,Chondrolysis
condrólisis,Chondrolysis
"condrodisplasia,",Chondrodysplasia
"antigua,",Old
rotaviral,Rotaviral
gastronteritis,Rotaviral
colérico,cholera
no-01,cholera
criptosporidiasis,Chr
ciclosporosis,Cyclosporosis
ciclosporiasis,Cyclosporiasis
isosesporiasis,Chr
samr,MRSA
monganella,Morganella
orificial,TB
gastroentérica,Gastroenteric
septicémico,Septicemic
supurativo,Chronic
cerebritis,Cerebritis
enzoótico,Enzootic
lepromatosas,Lepromatous
leproso,Type
histioide,Histioid
erisipelas,erysipelas
meningococcemia,Chronic
posmeningocócica,Postmeningococcal
sardónica,Rictus
trismus,Lockjaw
opistótono,Tetanic
paramandibular,Paramandibular
lemierre,Lemierre
pontiac,Pontiac
neurobartonelosis,Neurobartonellosis
específicas,Specific
orthopoxviridae,Orthopoxvirus
parapoxviridae,Parapoxvirus
multidermatomérico,HZV
modificado,Modified
parvoviral,Parvoviral
pogosta,Ockelbo
germistan,Germistan
murutucu,Murutucu
calchaquí,Calchaqui
filoviral,Filoviral
butcher,Butcher
extragenital,Primary
veneris,Corona
cuaternaria,Quaternary
meningocardiovascular,Meningovas
skenitis,Skenitis
tysonitis,Gonococcal
neonatórum,Neonatal
adelgazante,SLIM
ixidorickettsiosis,Asian
erlichiosis,Human
hiperreactiva,Tropical
malárica,Tropical
hiperinmunitaria,Tropical
espundia,Espundia
panameña,Panamanian
leishmanide,Leishmanid
chagoma,Chagoma
lipochagoma,Subcutaneous
herpetosoma,Herpetosoma
micropapular,Micropapular
njovera,Bejel
dichuchwa,Frenga
radesyge,Radesyge
siti,Siti
skerlievo,Skerjevo
"micosis,",Other
gluteale,Granuloma
moliniasis,Other
coccidiomicosis,Coccidiomycosis
lobomicótico,Primary
rinosporidial,Rhinosporidial
tricosporosis,Trichosporonosis
tricosporonosis,Trichosporonosis
cromoblastomicosis,Cutaneous
cromoblastomicótico,Prim
feohifomicótico,Phaeohyphomyc
hialohifomicosis,Hyalohyphomycosis
seudoalesqueriosis,Pseudallescherial
scedosporiosis,Disseminat pseudallescheriosis
seudoallescheriosis,Disseminat
mucormicótica,Mucormycotic
entomoftoramicosis,Entomophthoramycosis
rinofacial,Rhinofacial
basidiobolomicosis,Basidiobolomycosis
hepatoesplénica,Hepatosplenic
esquistosómica,Schistosomal
esquisosómica,Schistosomal
fibricoliasis,Fibricoliasis
hipoderaerosis,Hypoderaerosis
prostodendriasis,Prosthodendriasis
plagiorquiosis,Plagiorchiasis
paragominiasis,Extrapulmonary
extrapulmonar,Extrapulmonary
poiquilorquiasis,Poikilorchiasis
granulosus,Other
larval,Larval
elefantoide,Mumu
oncodermatitis,Onchodermatitis
depigmentación,Leopard
sowda,Sowda
ancilostoma,Hookworm
currens,Larva
macracantorhincosis,Macracanthorhynchosis
macracantorrincosis,Macracanthorhynchosis
ternideniasis,Ternideniasis
gongilonemiasis,Gongylonemosis
telaziasis,Thelaziosis
verminosa,Thelaziosis
almacenero,Storekeeper
dermatofagoide,Dermatophagoidal
pentastomiasis,Pentastomiasis
linguatulina,Tongueworm
marrara,Halzoun
algae,Algal
diyodohidroxiquinina,Poisoning
"enzimática,",enzyme
"vitamínica,",Vitamin
pirabital,Pyrabital
antiflogósico,Antirheumatic
adenocromo,Adrenochrome
clorotiazidas,Chlorothiazide
antipiréticos,Antipyretic
escarchado,Frostnip
aerodontalgia,Aerodontalgia
barodontalgia,Aerodontalgia
aerodontodinia,Aerodontalgia
estrangulamiento,asphyxia;
"hundimiento,",cave-in
fisioterapia/terapia,Physiotherapy/remedial
correctora,Physiotherapy/remedial
quiropraxia,Chiropraxy
"visual,",visual
sondeo,Sinus
obesity,Obesity
velada,eye
nubosa,eye
convergente,Convergent
divergente,Divergent
micronistagmo,Micronystagmus
uniocular,Uniocular
oscilante,Seesaw
parético,Gaze
nistgamo,Postural
rupturas,Multiple
desgarros,Breaks
intrarretinal,Intraretinal
intrarretiniana,Intraretinal
vitreorretinal,Vitreoretinopathy
coroide,Ring
gravídicas,stretch
mechón,Canities
canoso,Canities
teñido,Dyed
acongojado,Sad
aerofobia,fear fly
aviofobia,fear fly
vívidos,Vivid
rubifacción,Flashing
finas,Fine
dextrolateralidad,Right handed
ateo,Atheist
creyente,Religious
gluten,Gluten
vegana,Vegan
conveniente,Fast
precocidos,Fast
inocente,posset
retortijones,stomach cramp
moverse,Ability
anticomplementaria,Anti-complementary
granulosos,granular
paraprotésica,Paraprosthetic
regurgitativa,Aortic
"ventricular,",monomorphic
monomorfa,monomorphic
monomórfica,monomorphic
histology,Histology
amblioscopio,Major
microprolactinoma,Microprolactinoma
macroprolactinoma,Macroprolactinoma
ex-adenoma,CXPA
oligodendroblastoma,Oligodendroblastoma
linfoproliferativa,Chron
acefalotórax,Acephalothorax
acefalogáster,Acephalogaster
biemond,Biemond
fisurada,Fissured
sacral,Absent
epibléfaron,Epiblepharon
distiquiasis,Distichiasis
alacrima,Alacrima
dacrioestenosis,Congenital
sutural,Sutural
embriotoxon,Embryotoxon
esclerocórnea,Sclerocornea
hipoplásico,Iris
policoria,Polycoria
seudopolicoria,Holes in iris
peter,anomaly
peters,anomaly
puntiaguda,ear
acardia,Acardia
anómalas,Anomalous
trilocular,Cor
hemicardia,Hemicardia
microcardio,heart;
"cardíaca,",heart;
malrrotación,HEART
anormal-biventricular,Abn
congénitamente,L-transposition
anormal-univentricular,Abn
levoauriculocardinal,Levoatrial
triatriatum,Divided
cabalgante,Straddling
pentalogía,pentalogy
gerbode,Gerbode
subpulmonar,Subpulmonary
infundíbulos,Bilateral
deficientes,Bilat
seudotronco,Pseudotruncus
pseudotronco,Pseudotruncus
unicúspide,Unicuspid
aorto-ventricular,Aorto-Left
aórtico-ventricular,Aorto-Left
retroesofágico,Retresophageal
preductal,Preductal
paraductal,Paraductal
yuxtaductal,Paraductal
posductal,Postductal
pseudocoartación,Pseudo-coarctation
equilibrado,Balanced
idiopáticocongénito,Idiopathic
hiperganglionosis,Hyperganglionosis
dismotilidad,General
bridas,Congen.intest.adhesions
redundante,Redundant
triplication,Triplication
lobulación,Liver
uterointestinal,Congen
[v]testículos,Retractile
retráctiles,Retractile
encapuchado,Hooded
difalo,Diphallus
torta,Cake
pielocaliceal,calyceal
"epispadias,",Female
"hipospadias,",Female
ayala,Ayala
furst-ostrum,Ostrum-Furst
brugsch,Brugsch
reticulado,Reticulate
comedones,Familial
disqueratósicos,Familial
ensortijado,Congenital
monónfalo,Monomphalus
onfalópago,Monomphalus
isquiópago,Ischiopagus
"adicional,",Additional
supraglotis,Supraglottis
oleogranuloma,Oleoma
intrahepático,ICC
broncoalveolar,Epith
irritado,Irritated
xerodermoide,Pigmented
tricoadenoma,Trichoadenoma
nikolowski,Trichoadenoma
birt-hogg-dubé,BHD
birt-hogg-dube,BHD
fibrofoliculoma,trichodiscoma
fibroepitelioma,Pinkus tumor
pinkus,Pinkus
adenoquístico,Adenoid
siringocistadenoma,Syringocystadenoma
fibroqueratoma,Fibrokeratoma
fibrohistiocítico,Fibrohistiocytic
estoriforme,Cutan
piloleiomioma,Piloleiomyoma
dartoico,Dartoic
bregeat,Bregeat
racimo,TA
stewart-treves,Skin
dabska,PILA
myerson,Myerson
cocarda,Cockade
desmoplástico,Desmoplastic
bazex,BZX
bazex-dupre-christol,BZX
van,VAIN
epdídimo,Tumor
oncocitoma,Oncocytoma
somatotropo,Somatotrophinoma
somatotrófico,Somatotrophinoma
tirotrófico,TSHoma
gonadotrófico,Gonadotropinoma
gonadotropo,Gonadotropinoma
microadenoma,Pituitary
mesoadenoma,Pituitary
macroadenoma,PitNET/Macroadenoma
neurilemoma,Schwannoma
fuchs,Fuchs
corideo,choroid
retinoma,Retinoma
retinocitoma,Retinoma
polipeptidoma,PPoma
cánceres,Multiple
neoplasms,Neoplasms
otherwise,Neoplasms
"diseminado,",metastatic
linfangítico,Secondary
cutaneovascular,Benign
intracranial,Intracranial
"ampolla,",Blister
magulladura,Bruise
contuso,Bruised
goyrand-smith,Smith
cuboide,cuboid
refiere:,C/O
pesadillas,Nightmare
examen:,O/E
acalculia,Acalculia
hebilla,Buckle
aquinéticas,akinetic
psicosensitiva,Psychosensory
somatosensitiva,Somatosensory
sacro/cóccix,tuberculosis
hipometabolismo,Hypometabolism
[d]tumefacción,Chest
[d]bulto,Chest
"asmática,",Asthma
hidroxiquinolina,Hydroxyquinoline
letra,Mu
porcentual,%
porcentaje,%
pies,ft
mol/l,Molar
mol/litro,Molar
células/l,cells/L
células/litro,cells/L
pesados,Heavy
microfilme,Microfilm
vaporización,Vaporization
anti-francisella,Francisella
viiic,F
amber,AMBER
donadores,Live
vivos,Live
radiante,Radiant
pendiente,Ramping
instruido,taught
gordonii,Streptococcus
cuneiformes,Cuneiform
sp3,SP3
siguelosis,Other
meningocócicas,Oth
septicemias,Oth
estreptocócicas,Oth
fiebres,Other
maculosas,Other
exantemáticas,Other
[x]varicela,Varicella
[x]sarampión,Measles
[x]rubéola,Rubella
"[x]miasis,","Myiasis,"
secuelas,leprosy
hipoglucemias,Hypos
adrenogenitales,Oth
corticoadrenal,Corticoadren
hiperfenilalaninemias,Oth
porfirias,Porphyria
inflamaciones,Oth
hipertófica,Oth
inespecíficas,Oth
ulcerosas,Other
"[x]íleo,","Ileus,"
seborreicas,Sebrrheic
rinocerebral,Rhinocerebral
listérica,Listerial
vagino-colónica,Fistula
hiperuricemia,uricemia
extraintestinal,Extraintestinal
penicilosis,Penicillosis
peniciliosis,Penicillosis
actinimicótica,Actinomycotic
esquizoafectivos,Ot
depresivos,Other
[x]trastorno,Recurrent
pseudocrisis,Pseudoseizure
histéricas,Pseudoseizure
somatomorfos,Somatoform
orgánico),Nonorganic
disortografía,Dysorthography
hipercinéticos,Oth
hiperquinéticos,Oth
filariosis,Timorian
angioestrongiliasis,Intestinal
calórico-proteica,Mild
energético-proteica,Mild
descremada,skim
macís,Mace
macia,Mace
aceitunas,Olive
condimento,Seasoning
panal,Honeycomb
breteles,brace
tiradores,Suspenders
brincar,Hopping
fluida,Non-fluent
fluente,Non-fluent
impercepción,Imperception
malvinas,Malvinas
hiperdinámico,Warm
hipodinámico,Cold
posperfusión,Post-perfusion
hemosintetasa,Heme
korsakov,Korsakov
korsakoff,Korsakov
hipotirotrofinemia,Transient
melanocítico,Melanocytic
sabañón,Pustular
esquistosomiásica,Bilharzial
corioepitelioma,Gestational
pneumocéfalo,Tension
neumoencéfalo,Tension
post-cpre,Post-ERCP
richter,Richter
linfangioleiomiomatosis,Lung
tricoblastoma,Brooke's tumor
antabús,Antabuse
hipergranular,Hypergranular
bilineal,Acute
dislucional,Delusional
confitura,Jam
otelo,Othello
celotípico,Othello
couvade,Couvade
diuréticos,Diuretic
antiácidos,Antacid
genéricos/simples,Official/simple
"calcio/bismuto,",Calcium/bismuth
adsorbente,Adsorbent
[ceratonia,ceratonia
siliqua],ceratonia
higo,Fig
higos,Fig
ruibarbo+soda,Rhubarb+soda
"amoniacal,",Rhubarb+soda
"pancreatina,",Pancreatin
suplementos,Pancreatin
adsorbentes,Adsorbent
"oxprenolol+ciclopentiazida,",Co-prenozide
antihipertensivos,Other
antihipertensivos+barbitúricos,Antihypertensives+barbiturates
bametan,bamethan
adrenalina+inotrópicos,Adrenaline + inotropics
epinefrina+inotrópicos,Adrenaline + inotropics
oxedrina,Oxedrine
broncodilatadores+sedantes,Bronchodilators + sedative
orales/parenterales,Oral/parenteral
dextrometmorfano,DXM
descongestivos,Systemic
sistémicos,Systemic
barbitúricos/metiprilona,Barbiturates/methyprylone
dihidroclorhidrato,zuclopenthixol
"morfina,",Morphine
elixir,Elix
elíxiresanalgésicos,Morphine
elíxires,Morphine
"diacilmorfina,",Diamorphine
"diacetilmorfina,",Diamorphine
"diamorfina+cocaína,",Diamorphine
"diacetilmorfina+cocaína,",Diamorphine
"diacetilmorfina/cocaína/clorpromazina,",Diamorph/cocaine/chlorpr
"morfina+cocaína,",Morphine
"morfina/cocaína/clorpromazina,",Morphine/cocaine/chlorpr
"parlodel,",Parlodel
pivmecilina,pivmecillinam
cefalosporinas,Cephalosporin
cefamicinas,Cephalosporins
sulfaloxato,calcium
glibornurida,Glibornurid
glimidina,glymidine
lactobacilo,Lactobacill
"acidófilo,",Lactobacill
antagonistas+citotóxicos,Antagonists + cytotoxics
hematológicos/dietéticos,Hematology/dietetic
"potasio,",Potassium
efervescente,Potassium
"dioralyte,",Dioralyte
renal/cetógena,Renal
dietarios,dietary
ergocalciferol,Chole-or
sistémico+acth,Systemic
sistémicos+acth,Systemic
tópicas,Topical
(oculares),Topical
"cloranfenicol,",chloramphenicol
"idoxuridina,",Idoxuridine
"sulfacetamida,",Sulfacetamide
"prednisolona,",Prednisolone
laquesina,lachesine
"hipromelosa,",hypromellose
"metilcelulosa,",hypromellose
"neomicina,",Neomycin
óticas,Neomycin
"oximetazolina,",Oxymetazoline
orofaringe,Oropharynx
local-orofaringe,Local
diluyentes,Vehicles
vehículos+diluyentes:,Vehicles
ungüentos,Vehicles+diluents
"macrogol,",Macrogol
"parafina,",Paraffin
colodiones,Vehicles+diluents:collodions
"hidrocortisona,",HYDROCORTISONE
"2,5%,",HYDROCORTISONE
loción/apósito,Hydrocortisone
lociones/apósitos,Hydrocortisone
hidrocortisona+antimicrobiano,Hydrocortisone+antimicrobials
hidrocortisona+antimicrobianos,Hydrocortisone+antimicrobials
"hidrocortisona/neomicina,",Hydrocortisone/neomycin
betametasona+antimicrobiano,Betamethasone + antimicrobials
betametasona+antimicrobianos,Betamethasone + antimicrobials
fluclorolona,fluclorolone
acetonuro,fluclorolone
"fluocinonida,",FLUOCINONIDE
"0,05%,",FLUOCINONIDE
"fluocortolona,",Fluocortolone
"0,5%,",Fluocortolone
"halcinonida,",HALCINONIDE
"0,1%,",HALCINONIDE
resorcinol+pasta,Resorcinol
"corticosteroide,",corticosteroid
"corticosteroides,",corticosteroid
"aminobenzoico,",Aminobenzoic
"nitrofurazona,",NITROFURAZONE
"0,2%,",NITROFURAZONE
"metronidazol,",Metronidazole
"ponoxylan,",Ponoxylan
"clorhexidina,",Chlorhexidine
"éter,",Ether
"papaveretum,",Papaveretum
(adiciones,Lignocaine
genéricas),Lignocaine
"co-simalcita,",Co-simalcite
emolientes,Antiseptic
"tolnaftato,",TOLNAFTATE
"desflurano,",Desflurane
co-careldopa,co-careldopa
levodopa-carbidopa,co-careldopa
anticestodo,Anthelmintics
guar,Guar
yohimbina/pemolina/metiltestosterona,Yohimbine/pemoline/methyltest
"antitetánicas,",Antitetanus
antiespasmódicos,Compound
antiulceroso,Ulcer
quelato,Bismuth
antidiarreicos-tratamiento,Antidiarrheal
psyllium,psyllium husk
ispaghula,psyllium
"esterculia,",Sterculia
osmóticos,Osmotic
rectales,Rectal
rectales+corticosteroides,Rectal
quenodesoxicólico+ácido,Chenodeoxy+ursodeoxychol
ursodesoxicólico,Chenodeoxy+ursodeoxychol
mersalilo,Igrosin
vasodilatadores,Vasodilator
simpaticomiméticos,Vasoconstrict
nicofuranosa,nicofuranose
